*****,***(),**()*,*()**,*()(),()***,()*(),()()*
13254,13245,[13524],12354,12345,31254,31245,[31524]
14253,14235,14523,12453,12435,41253,41235,[41523]
14352,14325,14532,13452,13425,41352,41325,[41532]
15243,15234,15423,12543,12534,51243,51234,51423
15342,15324,15432,13542,[13524],51342,51324,51432
23154,23145,[23514],21354,21345,32154,32145,[32514]
24153,24135,24513,21453,21435,42153,42135,[42513]
24351,24315,24531,23451,23415,42351,42315,[42531]
25143,25134,25413,21543,21534,52143,52134,52413
25341,25314,25431,23541,[23514],52341,52314,52431
34152,34125,34512,31452,31425,43152,43125,43512
34251,34215,34521,32451,32415,43251,43215,43521
35142,35124,35412,31542,[31524],53142,53124,53412
35241,35214,35421,32541,[32514],53241,53214,53421
45132,45123,45312,[41532],[41523],54132,54123,54312
45231,45213,45321,[42531],[42513],54231,54213,54321
